,geolocation_state,geolocation_lat,geolocation_lng
0,SP,-23.54562128115268,-46.63929204800168
1,SP,-23.54608112703553,-46.64482029837157
2,SP,-23.54612896641469,-46.64295148361138
3,SP,-23.5443921648681,-46.63949930627844
4,SP,-23.541577961711493,-46.64160722329613
5,SP,-23.547762303364262,-46.63536053788448
6,SP,-23.54627311241268,-46.64122516971552
7,SP,-23.546923208436723,-46.6342636964915
8,SP,-23.543769055769133,-46.63427784085132
9,SP,-23.547639550320632,-46.63603162315495
