,seller_id,order_id,num_order_by_seller
0,039e6ad9dae79614493083e241147386,41b7766bb1df487d17fb9725b78ff509,1
1,2bf6a2c1e71bbd29a4ad64e6d3c3629f,d3f66901a6743e15f9311547cc623b91,1
2,403aa86912527d730337ffcb0fb096ab,e85c92ee6a3ba1ef47e41c23286314d9,1
3,512d298ac2a96d1931b6bd30aa21f61d,426a9742b533fc6fed17d1fd6d143d7e,1
4,585175ec331ea177fa47199e39a6170a,df85c824523500d4066a0dbdb5d95bed,1
5,59417c56835dd8e2e72f91f809cd4092,199af31afc78c699f0dbf71fb178d4d4,3
6,80ceebb4ee9b31afb6c6a916a574a1e2,fefacc66af859508bf1a7934eab1e97f,1
7,821fb029fc6e495ca4f08a35d51e53a5,a53e05ecd2ed1f46a2b8e1f5828be7c6,2
8,abe021b01ba992245271b9aa422032df,9a3966c23190dbdbaabed08e8429c006,1
9,c510bc1718f0f2961eaa42a23330681a,9de73f3e6157169ad6c32b9f313c7dcb,1
10,c72de06d72748d1a0dfb2125be43ba63,8dbc85d1447242f3b127dda390d56e19,1
11,e3b4998c7a498169dc7bce44e6bb6277,0812eb902a67711a1cb742b3cdaa65ae,1
12,ed4acab38528488b65a9a9c603ff024a,68101694e5c5dc7330c91e1bbc36214f,1
13,ee27a8f15b1dded4d213a468ba4eb391,f5136e38d1a14a4dbd87dff67da82701,1
14,fa1c13f2614d7b5c4749cbc52fecda94,86c4eab1571921a6a6e248ed312f5a5a,1
