,product_category_name,num_products_by_category,average_lenght_cm,average_height_cm,average_weight_cm
0,,0,28.7192118226601,15.814449917898195,22.56650246305419
1,agro_industria_e_comercio,74,36.527027027027025,28.945945945945947,25.81081081081081
2,alimentos,82,21.29268292682927,14.682926829268293,17.71951219512195
3,alimentos_bebidas,104,23.403846153846153,15.951923076923077,18.39423076923077
4,artes,55,35.92727272727273,11.8,23.363636363636363
5,artes_e_artesanato,19,28.36842105263158,9.789473684210526,21.05263157894737
6,artigos_de_festas,26,32.30769230769231,16.5,22.73076923076923
7,artigos_de_natal,65,28.23076923076923,16.215384615384615,22.83076923076923
8,audio,58,20.82758620689655,11.5,17.344827586206897
9,automotivo,1900,34.05,16.24157894736842,23.382105263157897
10,bebes,919,37.14705882352941,21.61764705882353,28.71786492374728
11,bebidas,81,23.91358024691358,22.37037037037037,19.395061728395063
12,beleza_saude,2444,23.800736497545007,15.712356792144027,17.997545008183305
13,brinquedos,1411,31.75478384124734,20.72289156626506,24.926293408929837
14,cama_mesa_banho,3029,36.774182898646416,14.091119181247937,30.589963684384283
15,casa_conforto,111,39.1981981981982,20.045045045045047,33.414414414414416
16,casa_conforto_2,5,53.2,15.2,26.2
17,casa_construcao,225,29.32888888888889,24.377777777777776,23.45777777777778
18,cds_dvds_musicais,1,35.0,15.0,25.0
19,cine_foto,28,27.642857142857142,11.571428571428571,18.178571428571427
20,climatizacao,124,36.46774193548387,23.887096774193548,26.088709677419356
21,consoles_games,317,21.79179810725552,12.6403785488959,18.473186119873816
22,construcao_ferramentas_construcao,400,29.795,15.895,24.2425
23,construcao_ferramentas_ferramentas,39,23.46153846153846,15.666666666666666,17.23076923076923
24,construcao_ferramentas_iluminacao,78,27.846153846153847,20.423076923076923,25.73076923076923
25,construcao_ferramentas_jardim,88,28.693181818181817,16.65909090909091,20.511363636363637
26,construcao_ferramentas_seguranca,91,23.065934065934066,15.0,18.98901098901099
27,cool_stuff,789,33.752851711026615,22.988593155893536,24.491761723700886
28,dvds_blu_ray,48,21.270833333333332,4.416666666666667,14.875
29,eletrodomesticos,370,29.805405405405406,14.891891891891891,21.85945945945946
30,eletrodomesticos_2,90,45.733333333333334,30.666666666666668,38.166666666666664
31,eletronicos,517,25.237911025145067,11.736943907156673,18.46808510638298
32,eletroportateis,231,29.471861471861473,27.038961038961038,27.307359307359306
33,esporte_lazer,2867,31.280083711196372,18.109870945238924,20.82420648761772
34,fashion_bolsas_e_acessorios,849,19.181389870435808,8.998822143698469,15.57243816254417
35,fashion_calcados,173,26.028901734104046,13.38150289017341,24.947976878612717
36,fashion_esporte,19,22.105263157894736,12.842105263157896,16.263157894736842
37,fashion_roupa_feminina,27,23.296296296296298,11.481481481481481,18.333333333333332
38,fashion_roupa_infanto_juvenil,5,27.4,13.4,20.6
39,fashion_roupa_masculina,95,27.326315789473686,14.021052631578947,22.11578947368421
40,fashion_underwear_e_moda_praia,53,25.50943396226415,8.849056603773585,18.90566037735849
41,ferramentas_jardim,753,30.93625498007968,19.204515272244358,23.50464807436919
42,flores,14,21.714285714285715,15.571428571428571,16.714285714285715
43,fraldas_higiene,12,25.0,17.583333333333332,19.25
44,industria_comercio_e_negocios,68,39.05882352941177,32.51470588235294,29.220588235294116
45,informatica_acessorios,1639,25.039658328248933,12.461256863941427,18.143380109823063
46,instrumentos_musicais,289,36.27681660899654,16.85467128027682,29.844290657439448
47,la_cuisine,10,67.3,13.8,34.8
48,livros_importados,31,29.741935483870968,3.4516129032258065,21.225806451612904
49,livros_interesse_geral,216,23.48148148148148,9.773148148148149,19.328703703703702
50,livros_tecnicos,123,27.32520325203252,5.869918699186992,18.463414634146343
51,malas_acessorios,349,35.74212034383954,29.584527220630374,30.707736389684815
52,market_place,104,26.759615384615383,17.625,22.490384615384617
53,moveis_colchao_e_estofado,10,46.3,34.4,41.3
54,moveis_cozinha_area_de_servico_jantar_e_jardim,94,47.340425531914896,40.47872340425532,38.680851063829785
55,moveis_decoracao,2657,43.89499435453519,17.438088069251034,28.663153933007152
56,moveis_escritorio,309,55.627831715210355,41.86407766990291,37.919093851132686
57,moveis_quarto,45,59.93333333333333,30.8,34.4
58,moveis_sala,156,50.73076923076923,22.365384615384617,44.42948717948718
59,musica,27,27.14814814814815,9.925925925925926,18.22222222222222
60,papelaria,849,29.062426383981155,19.586572438162545,23.346289752650176
61,pc_gamer,3,17.666666666666668,20.0,20.0
62,pcs,30,32.13333333333333,34.333333333333336,40.1
63,perfumaria,868,20.322580645161292,13.059907834101383,16.668202764976957
64,pet_shop,719,32.98052851182197,20.126564673157162,26.749652294853963
65,portateis_casa_forno_e_cafe,31,31.322580645161292,22.838709677419356,23.870967741935484
66,portateis_cozinha_e_preparadores_de_alimentos,10,28.5,25.3,24.6
67,relogios_presentes,1329,19.22272385252069,10.292701279157262,15.268623024830699
68,seguros_e_servicos,2,26.5,28.5,13.0
69,sinalizacao_e_seguranca,93,30.50537634408602,23.892473118279568,20.817204301075268
70,tablets_impressao_imagem,9,28.11111111111111,9.444444444444445,21.555555555555557
71,telefonia,1134,18.432980599647266,6.853615520282187,13.248677248677248
72,telefonia_fixa,116,20.646551724137932,10.741379310344827,16.5
73,utilidades_domesticas,2335,31.859957173447537,22.337901498929337,24.821413276231265
